,/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.17/conv/Conv,/model.2/cv2/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,Error
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32095973938703537
1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.07171349041163921
2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.309377983212471
3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.31629766523838043
4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.030653255991637707
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.058479201048612595
6,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.06709859147667885
7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.05482540279626846
8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.31017401069402695
9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.06714477390050888
10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.3164607360959053
11,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.07445802167057991
12,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.05950501933693886
13,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.31132547557353973
14,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3127129003405571
15,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.3088409975171089
16,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.31148719787597656
17,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.05794001929461956
18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05388534441590309
19,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0538982767611742
20,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.30702514946460724
21,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.31415921449661255
22,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.059149425476789474
23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.03992678225040436
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.30893944948911667
