,/model.1/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.23/cv4.0/cv4.0.0/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,Error
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15758359301835298
1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.027019309485331176
2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1489895809441805
3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.15139807322993876
4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.05962776173837483
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0675603833515197
6,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.03181272833608091
7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.03447248660959303
8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.15489771831780672
9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.040612023789435625
10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.15613465756177902
11,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.028159686457365753
12,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.02768588871695101
13,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.15372971892356874
14,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15323672275990247
15,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.15303046815097332
16,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.15540238860994576
17,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0767901424318552
18,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05767267295159399
19,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.06531752934679388
20,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.15483863409608603
21,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.15603924989700318
22,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.021754570165649058
23,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.023663966916501522
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.14957402916625143
25,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.03593634185381234
26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14641859009861946
27,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1559445232152939
