,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/proto/cv1/conv/Conv,/model.23/proto/cv2/conv/Conv,/model.23/proto/upsample/ConvTranspose,/model.3/conv/Conv,/model.5/conv/Conv,Error
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0740643534809351
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27109940350055695
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014241700991988182
3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05356217175722122
4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.058611140586435795
5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003572149435058236
6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.015576531179249287
7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.05437228735536337
8,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.059336500242352486
9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008471851237118244
10,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.019183192867785692
11,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.05660600867122412
12,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.06132208835333586
13,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.009053174871951342
14,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.01972538512200117
15,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.05707877688109875
16,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.06179716903716326
17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020330958534032106
18,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.02784555871039629
19,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06270427070558071
20,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.06700643058866262
21,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.020269624423235655
22,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.027902644127607346
23,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.06279117800295353
24,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.06710913218557835
25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.02281575882807374
26,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.03025006875395775
27,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.06460901349782944
28,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.06883105356246233
29,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.02269355906173587
30,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.030236457474529743
31,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.06461492739617825
32,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.06885760463774204
33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004394925432279706
34,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.016171840019524097
35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.05458995047956705
36,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.05961631704121828
37,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.007967074867337942
38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.017506670206785202
39,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0554000660777092
40,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.06034167669713497
41,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.01286677666939795
42,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.021113331895321608
43,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.057633787393569946
44,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.06232726480811834
45,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.013448100304231048
46,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.021655524149537086
47,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.058106555603444576
48,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.06280234549194574
49,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.023213214008137584
50,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.029646797571331263
51,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.06371306534856558
52,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.06797312293201685
53,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.023151879897341132
54,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.02970388298854232
55,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0637999726459384
56,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.06807582452893257
57,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.025698014302179217
