,/model.1/conv/Conv,/model.16/cv1/conv/Conv,/model.2/cv2/conv/Conv,/model.23/cv2.0/cv2.0.0/conv/Conv,/model.23/cv2.0/cv2.0.1/conv/Conv,/model.23/cv2.1/cv2.1.0/conv/Conv,/model.3/conv/Conv,/model.4/cv2/conv/Conv,/model.5/conv/Conv,/model.7/conv/Conv,Error
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30599486976861956
1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1624130681157112
2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3113395556807518
3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.30361382812261584
4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.15133690387010573
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.17071759700775146
6,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.10896898210048675
7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.16733514666557311
8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.30349491387605665
9,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.16332053542137145
10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.290801078081131
11,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.16335413604974747
12,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.15887808576226234
13,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.3009494781494141
14,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3066496506333351
15,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2936640098690987
16,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.3115312188863754
