NodeName,FLOPs,WeightMemory[MB],OutMemory[MB],"Edges[NumTensors, MB]..."
InputGeneratorNode,0,0,0,"(1, 4.9152)"
images_QuantizeLinear,4915200.0,4.9999999999999996e-06,1.2288,"(1, 1.2288)"
images_DequantizeLinear,4915200.0,4.9999999999999996e-06,4.9152,"(1, 4.9152)"
/model.0/conv/Conv,91750400.0,0,6.5536,"(1, 6.5536)"
/model.0/conv/Conv_output_0_QuantizeLinear,6553600.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.0/conv/Conv_output_0_DequantizeLinear,6553600.0,4.9999999999999996e-06,6.5536,"(1, 6.5536)","(1, 6.5536)"
/model.0/act/Sigmoid,104857600.0,0,6.5536,"(1, 6.5536)"
/model.0/act/Mul,3276800.0,0,6.5536,"(1, 6.5536)"
/model.0/act/Mul_output_0_QuantizeLinear,6553600.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.0/act/Mul_output_0_DequantizeLinear,6553600.0,4.9999999999999996e-06,6.5536,"(1, 6.5536)"
/model.1/conv/Conv,237568000.0,0,3.2768,"(1, 3.2768)"
/model.1/conv/Conv_output_0_QuantizeLinear,3276800.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)"
/model.1/conv/Conv_output_0_DequantizeLinear,3276800.0,4.9999999999999996e-06,3.2768,"(1, 3.2768)","(1, 3.2768)"
/model.1/act/Sigmoid,52428800.0,0,3.2768,"(1, 3.2768)"
/model.1/act/Mul,1638400.0,0,3.2768,"(1, 3.2768)"
/model.1/act/Mul_output_0_QuantizeLinear,3276800.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)"
/model.1/act/Mul_output_0_DequantizeLinear,3276800.0,4.9999999999999996e-06,3.2768,"(1, 3.2768)"
/model.2/cv1/conv/Conv,54067200.0,0,3.2768,"(1, 3.2768)"
/model.2/cv1/conv/Conv_output_0_QuantizeLinear,3276800.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)"
/model.2/cv1/conv/Conv_output_0_DequantizeLinear,3276800.0,4.9999999999999996e-06,3.2768,"(1, 3.2768)","(1, 3.2768)"
/model.2/cv1/act/Sigmoid,52428800.0,0,3.2768,"(1, 3.2768)"
/model.2/cv1/act/Mul,1638400.0,0,3.2768,"(1, 3.2768)"
/model.2/cv1/act/Mul_output_0_QuantizeLinear,3276800.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)"
/model.2/cv1/act/Mul_output_0_DequantizeLinear,3276800.0,4.9999999999999996e-06,3.2768,"(1, 3.2768)"
/model.2/Split,0.0,1.6e-05,3.2768,"(1, 1.6384)","(1, 1.6384)"
/model.2/Split_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.2/Split_output_1_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.2/Split_output_1_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)","(1, 1.6384)","(1, 1.6384)"
/model.2/m.0/cv1/conv/Conv,59392000.0,0,0.8192,"(1, 0.8192)"
/model.2/m.0/Add,819200.0,0,1.6384,"(1, 1.6384)"
/model.2/Concat,0.0,0,4.9152,"(1, 4.9152)"
/model.2/Concat_output_0_QuantizeLinear,4915200.0,4.9999999999999996e-06,1.2288,"(1, 1.2288)"
/model.2/Concat_output_0_DequantizeLinear,4915200.0,4.9999999999999996e-06,4.9152,"(1, 4.9152)"
/model.2/cv2/conv/Conv,160563200.0,0,6.5536,"(1, 6.5536)"
/model.2/cv2/conv/Conv_output_0_QuantizeLinear,6553600.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.2/cv2/conv/Conv_output_0_DequantizeLinear,6553600.0,4.9999999999999996e-06,6.5536,"(1, 6.5536)","(1, 6.5536)"
/model.2/cv2/act/Sigmoid,104857600.0,0,6.5536,"(1, 6.5536)"
/model.2/cv2/act/Mul,3276800.0,0,6.5536,"(1, 6.5536)"
/model.2/cv2/act/Mul_output_0_QuantizeLinear,6553600.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.2/cv2/act/Mul_output_0_DequantizeLinear,6553600.0,4.9999999999999996e-06,6.5536,"(1, 6.5536)"
/model.3/conv/Conv,472678400.0,0,1.6384,"(1, 1.6384)"
/model.3/conv/Conv_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.3/conv/Conv_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)","(1, 1.6384)"
/model.3/act/Sigmoid,26214400.0,0,1.6384,"(1, 1.6384)"
/model.3/act/Mul,819200.0,0,1.6384,"(1, 1.6384)"
/model.3/act/Mul_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.3/act/Mul_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.4/cv1/conv/Conv,53248000.0,0,1.6384,"(1, 1.6384)"
/model.4/cv1/conv/Conv_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.4/cv1/conv/Conv_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)","(1, 1.6384)"
/model.4/cv1/act/Sigmoid,26214400.0,0,1.6384,"(1, 1.6384)"
/model.4/cv1/act/Mul,819200.0,0,1.6384,"(1, 1.6384)"
/model.4/cv1/act/Mul_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.4/cv1/act/Mul_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.4/Split,0.0,1.6e-05,1.6384,"(1, 0.8192)","(1, 0.8192)"
/model.4/Split_output_0_QuantizeLinear,819200.0,4.9999999999999996e-06,0.2048,"(1, 0.2048)"
/model.4/Split_output_1_QuantizeLinear,819200.0,4.9999999999999996e-06,0.2048,"(1, 0.2048)"
/model.4/Split_output_1_DequantizeLinear,819200.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)","(1, 0.8192)","(1, 0.8192)"
/model.4/m.0/cv1/conv/Conv,59187200.0,0,0.4096,"(1, 0.4096)"
/model.4/m.0/Add,409600.0,0,0.8192,"(1, 0.8192)"
/model.4/Concat,0.0,0,2.4576,"(1, 2.4576)"
/model.4/Concat_output_0_QuantizeLinear,2457600.0,4.9999999999999996e-06,0.6144,"(1, 0.6144)"
/model.4/Concat_output_0_DequantizeLinear,2457600.0,4.9999999999999996e-06,2.4576,"(1, 2.4576)"
/model.4/cv2/conv/Conv,158924800.0,0,3.2768,"(1, 3.2768)"
/model.4/cv2/conv/Conv_output_0_QuantizeLinear,3276800.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)"
/model.4/cv2/conv/Conv_output_0_DequantizeLinear,3276800.0,4.9999999999999996e-06,3.2768,"(1, 3.2768)","(1, 3.2768)"
/model.4/cv2/act/Sigmoid,52428800.0,0,3.2768,"(1, 3.2768)"
/model.4/cv2/act/Mul,1638400.0,0,3.2768,"(1, 3.2768)"
/model.4/cv2/act/Mul_output_0_QuantizeLinear,3276800.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)"
/model.4/cv2/act/Mul_output_0_DequantizeLinear,3276800.0,4.9999999999999996e-06,3.2768,"(1, 3.2768)","(1, 3.2768)"
/model.5/conv/Conv,472268800.0,0,0.8192,"(1, 0.8192)"
/model.15/Concat,0.0,0,6.5536,"(1, 6.5536)"
/model.15/Concat_output_0_QuantizeLinear,6553600.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.15/Concat_output_0_DequantizeLinear,6553600.0,4.9999999999999996e-06,6.5536,"(1, 6.5536)"
/model.16/cv1/conv/Conv,210534400.0,0,1.6384,"(1, 1.6384)"
/model.16/cv1/conv/Conv_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.16/cv1/conv/Conv_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)","(1, 1.6384)"
/model.16/cv1/act/Sigmoid,26214400.0,0,1.6384,"(1, 1.6384)"
/model.16/cv1/act/Mul,819200.0,0,1.6384,"(1, 1.6384)"
/model.16/cv1/act/Mul_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.16/cv1/act/Mul_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)"
/model.16/Split,0.0,1.6e-05,1.6384,"(1, 0.8192)","(1, 0.8192)"
/model.16/Split_output_0_QuantizeLinear,819200.0,4.9999999999999996e-06,0.2048,"(1, 0.2048)"
/model.16/Split_output_1_QuantizeLinear,819200.0,4.9999999999999996e-06,0.2048,"(1, 0.2048)"
/model.16/Split_output_1_DequantizeLinear,819200.0,4.9999999999999996e-06,0.8192,"(1, 0.8192)","(1, 0.8192)","(1, 0.8192)"
/model.16/m.0/cv1/conv/Conv,59187200.0,0,0.4096,"(1, 0.4096)"
/model.16/m.0/Add,409600.0,0,0.8192,"(1, 0.8192)"
/model.16/Concat,0.0,0,2.4576,"(1, 2.4576)"
/model.16/Concat_output_0_QuantizeLinear,2457600.0,4.9999999999999996e-06,0.6144,"(1, 0.6144)"
/model.16/Concat_output_0_DequantizeLinear,2457600.0,4.9999999999999996e-06,2.4576,"(1, 2.4576)"
/model.16/cv2/conv/Conv,79462400.0,0,1.6384,"(1, 1.6384)"
/model.16/cv2/conv/Conv_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.16/cv2/conv/Conv_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)","(1, 1.6384)"
/model.16/cv2/act/Sigmoid,26214400.0,0,1.6384,"(1, 1.6384)"
/model.16/cv2/act/Mul,819200.0,0,1.6384,"(1, 1.6384)"
/model.16/cv2/act/Mul_output_0_QuantizeLinear,1638400.0,4.9999999999999996e-06,0.4096,"(1, 0.4096)"
/model.16/cv2/act/Mul_output_0_DequantizeLinear,1638400.0,4.9999999999999996e-06,1.6384,"(1, 1.6384)","(1, 1.6384)","(1, 1.6384)","(1, 1.6384)","(1, 1.6384)"
/model.17/conv/Conv,118169600.0,0,0.4096,"(1, 0.4096)"
/model.23/proto/cv1/conv/Conv,472678400.0,0,1.6384,"(1, 1.6384)"
/model.23/cv4.0/cv4.0.0/conv/Conv,236339200.0,0,0.8192,"(1, 0.8192)"
/model.23/cv2.0/cv2.0.0/conv/Conv,472678400.0,0,1.6384,"(1, 1.6384)"
