NodeName,FLOPs,WeightMemory[MB],OutMemory[MB],NextNodeName,EdgeDataSize[MB]
InputGeneratorNode,0,0,0,images_QuantizeLinear,4.9152
images_QuantizeLinear,4915200.0,4.9999999999999996e-06,1.2288,images_DequantizeLinear,1.2288
images_DequantizeLinear,4915200.0,4.9999999999999996e-06,4.9152,/model.0/conv/Conv,4.9152
/model.0/conv/Conv,550502400.0,0.002989,39.3216,/model.0/conv/Conv_output_0_QuantizeLinear,39.3216
/model.0/conv/Conv_output_0_QuantizeLinear,39321600.0,4.9999999999999996e-06,9.8304,/model.0/conv/Conv_output_0_DequantizeLinear,9.8304
/model.0/conv/Conv_output_0_DequantizeLinear,39321600.0,4.9999999999999996e-06,39.3216,/model.0/act/Sigmoid,39.3216,/model.0/act/Mul,39.3216
/model.0/act/Sigmoid,629145600.0,0,39.3216,/model.0/act/Sigmoid_output_0_QuantizeLinear,39.3216
/model.0/act/Mul,19660800.0,0,39.3216,/model.0/act/Mul_output_0_QuantizeLinear,39.3216
/model.0/act/Mul_output_0_QuantizeLinear,39321600.0,4.9999999999999996e-06,9.8304,/model.0/act/Mul_output_0_DequantizeLinear,9.8304
/model.0/act/Mul_output_0_DequantizeLinear,39321600.0,4.9999999999999996e-06,39.3216,/model.1/conv/Conv,39.3216
/model.1/conv/Conv,8503296000.0,0.166669,19.6608,/model.1/conv/Conv_output_0_QuantizeLinear,19.6608
/model.1/conv/Conv_output_0_QuantizeLinear,19660800.0,4.9999999999999996e-06,4.9152,/model.1/conv/Conv_output_0_DequantizeLinear,4.9152
/model.1/conv/Conv_output_0_DequantizeLinear,19660800.0,4.9999999999999996e-06,19.6608,/model.1/act/Sigmoid,19.6608,/model.1/act/Mul,19.6608
/model.1/act/Sigmoid,314572800.0,0,19.6608,/model.1/act/Sigmoid_output_0_QuantizeLinear,19.6608
/model.1/act/Mul,9830400.0,0,19.6608,/model.1/act/Mul_output_0_QuantizeLinear,19.6608
/model.1/act/Mul_output_0_QuantizeLinear,19660800.0,4.9999999999999996e-06,4.9152,/model.1/act/Mul_output_0_DequantizeLinear,4.9152
/model.1/act/Mul_output_0_DequantizeLinear,19660800.0,4.9999999999999996e-06,19.6608,/model.2/cv1/conv/Conv,19.6608
/model.2/cv1/conv/Conv,1897267200.0,0.037645,19.6608,/model.2/cv1/conv/Conv_output_0_QuantizeLinear,19.6608
/model.2/cv1/conv/Conv_output_0_QuantizeLinear,19660800.0,4.9999999999999996e-06,4.9152,/model.2/cv1/conv/Conv_output_0_DequantizeLinear,4.9152
/model.2/cv1/conv/Conv_output_0_DequantizeLinear,19660800.0,4.9999999999999996e-06,19.6608,/model.2/cv1/act/Sigmoid,19.6608,/model.2/cv1/act/Mul,19.6608
/model.2/cv1/act/Sigmoid,314572800.0,0,19.6608,/model.2/cv1/act/Sigmoid_output_0_QuantizeLinear,19.6608
/model.2/cv1/act/Mul,9830400.0,0,19.6608,/model.2/cv1/act/Mul_output_0_QuantizeLinear,19.6608
/model.2/cv1/act/Mul_output_0_QuantizeLinear,19660800.0,4.9999999999999996e-06,4.9152,/model.2/cv1/act/Mul_output_0_DequantizeLinear,4.9152
/model.2/cv1/act/Mul_output_0_DequantizeLinear,19660800.0,4.9999999999999996e-06,19.6608,/model.2/Split,19.6608
/model.2/Split,0.0,1.6e-05,19.6608,/model.2/Split_output_0_QuantizeLinear,9.8304,/model.2/Split_output_1_QuantizeLinear,9.8304
/model.2/Split_output_0_QuantizeLinear,9830400.0,4.9999999999999996e-06,2.4576,/model.2/Split_output_0_DequantizeLinear,2.4576
/model.2/Split_output_1_QuantizeLinear,9830400.0,4.9999999999999996e-06,2.4576,/model.2/Split_output_1_DequantizeLinear,2.4576
/model.2/Split_output_1_DequantizeLinear,9830400.0,4.9999999999999996e-06,9.8304,/model.2/m.0/cv1/conv/Conv,9.8304,/model.2/m.0/cv2/conv/Conv,9.8304,/model.2/Concat,9.8304
/model.2/m.0/cv1/conv/Conv,238387200.0,0.004813,4.9152,/model.2/m.0/cv1/conv/Conv_output_0_QuantizeLinear,4.9152
/model.2/m.0/cv2/conv/Conv,238387200.0,0.004813,4.9152,/model.2/m.0/cv2/conv/Conv_output_0_QuantizeLinear,4.9152
/model.2/Concat,0.0,0,39.3216,/model.2/Concat_output_0_QuantizeLinear,39.3216
/model.2/Concat_output_0_QuantizeLinear,39321600.0,4.9999999999999996e-06,9.8304,/model.2/Concat_output_0_DequantizeLinear,9.8304
/model.2/Concat_output_0_DequantizeLinear,39321600.0,4.9999999999999996e-06,39.3216,/model.2/cv2/conv/Conv,39.3216
/model.2/cv2/conv/Conv,7569408000.0,0.149005,39.3216,/model.2/cv2/conv/Conv_output_0_QuantizeLinear,39.3216
/model.2/cv2/conv/Conv_output_0_QuantizeLinear,39321600.0,4.9999999999999996e-06,9.8304,/model.2/cv2/conv/Conv_output_0_DequantizeLinear,9.8304
/model.2/cv2/conv/Conv_output_0_DequantizeLinear,39321600.0,4.9999999999999996e-06,39.3216,/model.2/cv2/act/Sigmoid,39.3216,/model.2/cv2/act/Mul,39.3216
/model.2/cv2/act/Sigmoid,629145600.0,0,39.3216,/model.2/cv2/act/Sigmoid_output_0_QuantizeLinear,39.3216
/model.2/cv2/act/Mul,19660800.0,0,39.3216,/model.2/cv2/act/Mul_output_0_QuantizeLinear,39.3216
/model.2/cv2/act/Mul_output_0_QuantizeLinear,39321600.0,4.9999999999999996e-06,9.8304,/model.2/cv2/act/Mul_output_0_DequantizeLinear,9.8304
/model.2/cv2/act/Mul_output_0_DequantizeLinear,39321600.0,4.9999999999999996e-06,39.3216,/model.3/conv/Conv,39.3216
/model.3/conv/Conv,16991846400.0,1.328653,9.8304,/model.3/conv/Conv_output_0_QuantizeLinear,9.8304
/model.3/conv/Conv_output_0_QuantizeLinear,9830400.0,4.9999999999999996e-06,2.4576,/model.3/conv/Conv_output_0_DequantizeLinear,2.4576
/model.3/conv/Conv_output_0_DequantizeLinear,9830400.0,4.9999999999999996e-06,9.8304,/model.3/act/Sigmoid,9.8304,/model.3/act/Mul,9.8304
/model.3/act/Sigmoid,157286400.0,0,9.8304,/model.3/act/Sigmoid_output_0_QuantizeLinear,9.8304
/model.3/act/Mul,4915200.0,0,9.8304,/model.3/act/Mul_output_0_QuantizeLinear,9.8304
/model.3/act/Mul_output_0_QuantizeLinear,9830400.0,4.9999999999999996e-06,2.4576,/model.3/act/Mul_output_0_DequantizeLinear,2.4576
